"Date","Price","Open","High","Low","Vol.","Change %"
"10/23/2023","167.00","168.50","168.50","166.25","20.74K","-0.89%"
"10/20/2023","168.50","160.50","168.50","160.50","28.29K","4.01%"
"10/19/2023","162.00","161.75","162.00","161.00","21.97K","0.00%"
"10/18/2023","162.00","163.00","164.75","160.50","24.51K","-1.82%"
"10/17/2023","165.00","164.00","165.00","163.00","4.66K","0.61%"
"10/16/2023","164.00","167.00","167.00","163.00","3.32K","0.61%"
"10/13/2023","163.00","165.75","167.00","163.00","3.76K","-0.61%"
"10/12/2023","164.00","160.25","165.00","160.25","19.81K","1.39%"
"10/11/2023","161.75","165.00","165.00","160.00","21.21K","-0.92%"
"10/10/2023","163.25","159.50","163.75","159.50","106.55K","0.15%"
"10/09/2023","163.00","163.25","163.25","158.00","71.78K","0.00%"
"10/06/2023","163.00","165.00","165.00","163.00","209.74K","-2.69%"
"10/05/2023","167.50","167.75","167.75","165.00","6.19K","0.60%"
"10/04/2023","166.50","164.00","168.00","164.00","5.08K","1.52%"
"10/03/2023","164.00","168.00","169.75","164.00","53.62K","-2.67%"
"10/02/2023","168.50","173.75","173.75","166.50","213.01K","-2.03%"
"09/27/2023","172.00","170.75","173.00","168.50","21.43K","1.33%"
"09/26/2023","169.75","167.50","170.00","167.50","19.28K","0.44%"
"09/25/2023","169.00","170.00","171.00","169.00","49.40K","-0.44%"
"09/22/2023","169.75","167.00","170.00","166.00","143.69K","1.04%"
"09/21/2023","168.00","169.25","170.00","168.00","210.62K","-0.74%"
"09/20/2023","169.25","165.00","171.00","165.00","288.92K","-0.44%"
"09/19/2023","170.00","175.00","175.00","169.00","189.02K","-1.73%"
"09/18/2023","173.00","174.75","177.00","173.00","65.90K","-1.00%"
"09/15/2023","174.75","178.00","178.00","174.75","22.54K","-1.83%"
"09/14/2023","178.00","176.00","178.25","173.00","47.59K","0.99%"
"09/13/2023","176.25","174.00","178.00","173.00","15.58K","0.71%"
"09/12/2023","175.00","174.00","175.00","171.00","54.37K","0.00%"
"09/11/2023","175.00","178.75","178.75","174.50","12.53K","-1.55%"
"09/08/2023","177.75","177.25","179.00","175.25","62.14K","0.42%"
"09/07/2023","177.00","177.00","180.00","176.00","189.98K","0.00%"
"09/06/2023","177.00","181.00","181.00","176.25","1.11M","-2.21%"
"09/05/2023","181.00","173.75","181.00","173.75","305.72K","4.32%"
"09/04/2023","173.50","170.00","173.50","170.00","30.69K","2.06%"
"09/01/2023","170.00","169.75","170.00","166.00","961.44K","0.29%"
"08/31/2023","169.50","171.25","173.50","169.00","29.43K","-1.45%"
"08/29/2023","172.00","173.75","173.75","171.25","47.73K","-1.01%"
"08/28/2023","173.75","175.25","176.00","173.25","885.05K","-0.71%"
"08/25/2023","175.00","174.75","176.00","174.00","464.48K","-0.57%"
"08/24/2023","176.00","181.75","182.00","175.00","371.14K","-3.16%"
"08/23/2023","181.75","175.50","182.00","175.50","145.17K","3.27%"
"08/22/2023","176.00","178.25","179.00","175.50","1.49M","0.28%"
"08/21/2023","175.50","182.25","185.00","175.50","120.89K","-3.31%"
"08/18/2023","181.50","183.00","183.00","180.00","168.34K","-0.68%"
"08/17/2023","182.75","183.50","185.00","182.75","473.10K","-0.41%"
"08/16/2023","183.50","181.25","184.00","179.25","556.50K","0.69%"
"08/15/2023","182.25","188.75","189.50","182.00","23.30K","-3.83%"
"08/14/2023","189.50","198.00","198.00","187.75","554.91K","-4.77%"
"08/11/2023","199.00","199.50","199.50","197.25","147.08K","0.00%"
"08/10/2023","199.00","199.00","200.00","198.50","175.43K","0.89%"
"08/09/2023","197.25","200.75","200.75","196.75","13.34K","-1.62%"
"08/08/2023","200.50","200.25","200.50","195.00","202.09K","0.25%"
"08/07/2023","200.00","200.00","201.75","198.75","95.31K","0.50%"
"08/04/2023","199.00","199.50","201.75","199.00","164.40K","0.00%"
"08/03/2023","199.00","195.00","203.50","194.00","1.76M","0.00%"
"08/02/2023","199.00","195.00","200.00","191.50","361.54K","3.65%"
"07/31/2023","192.00","192.00","195.00","191.50","158.84K","1.05%"
"07/28/2023","190.00","190.00","192.50","190.00","1.15M","0.00%"
"07/27/2023","190.00","175.00","190.00","175.00","314.82K","7.80%"
"07/26/2023","176.25","179.00","179.00","175.25","76.05K","-1.26%"
"07/25/2023","178.50","176.50","179.00","176.50","53.13K","0.14%"
"07/24/2023","178.25","178.00","179.00","176.50","90.23K","0.14%"
"07/21/2023","178.00","178.75","181.75","176.25","138.14K","-1.11%"
"07/20/2023","180.00","181.00","183.00","178.00","599.33K","-0.41%"
"07/19/2023","180.75","180.00","182.00","178.00","539.85K","0.42%"
"07/18/2023","180.00","175.00","180.00","173.00","501.77K","2.86%"
"07/17/2023","175.00","175.00","176.00","172.50","514.16K","1.45%"
"07/14/2023","172.50","165.00","173.00","165.00","710.99K","4.55%"
"07/13/2023","165.00","161.00","166.25","159.00","375.74K","2.48%"
"07/12/2023","161.00","155.00","161.00","155.00","89.41K","3.37%"
"07/11/2023","155.75","155.00","156.00","155.00","76.37K","0.48%"
"07/10/2023","155.00","153.00","155.50","153.00","192.72K","0.00%"
"07/07/2023","155.00","153.00","155.00","152.00","24.22K","-1.59%"
"07/06/2023","157.50","155.00","157.50","150.00","522.53K","1.61%"
"07/05/2023","155.00","159.00","159.00","155.00","211.57K","-2.67%"
"07/04/2023","159.25","150.00","164.25","150.00","1.50M","13.75%"
"06/28/2023","140.00","136.25","141.00","136.25","696.10K","2.00%"
"06/27/2023","137.25","139.50","140.00","136.00","71.36K","-1.79%"
"06/26/2023","139.75","135.25","139.75","133.00","92.45K","2.01%"
"06/23/2023","137.00","136.00","137.75","135.50","86.14K","0.74%"
"06/22/2023","136.00","136.25","136.50","135.00","20.18K","0.00%"
"06/21/2023","136.00","135.75","137.00","135.75","30.95K","0.74%"
"06/20/2023","135.00","130.25","137.00","130.25","41.32K","0.00%"
"06/19/2023","135.00","135.00","136.00","135.00","26.74K","-1.46%"
"06/16/2023","137.00","136.00","137.00","135.50","246.89K","0.00%"
"06/15/2023","137.00","136.00","137.25","136.00","754.65K","1.29%"
"06/14/2023","135.25","132.50","135.50","131.00","544.65K","2.08%"
"06/13/2023","132.50","130.50","135.00","130.25","632.05K","1.92%"
"06/12/2023","130.00","124.25","130.50","124.00","72.04K","3.79%"
